time,n,dt,threshold
51.3,52,0.3,2.4
51.6,54,0.3,2.4
51.9,54,0.3,2.4
52.2,46,0.3,2.4
52.5,50,0.3,2.4
52.8,54,0.3,2.4
53.1,33,0.3,2.4
53.4,48,0.3,2.4
53.7,36,0.3,2.4
54,42,0.3,2.4
54.3,43,0.3,2.4
54.6,44,0.3,2.4
54.9,44,0.3,2.4
55.2,46,0.3,2.4
55.5,44,0.3,2.4
55.8,45,0.3,2.4
56.1,48,0.3,2.4
56.4,44,0.3,2.4
56.7,44,0.3,2.4
57,48,0.3,2.4
57.3,47,0.3,2.4
57.6,38,0.3,2.4
57.9,44,0.3,2.4
58.2,39,0.3,2.4
58.5,44,0.3,2.4
58.8,34,0.3,2.4
59.1,46,0.3,2.4
59.4,53,0.3,2.4
59.7,43,0.3,2.4
60,43,0.3,2.4
